,material_id,cif,prop
0,JVASP-41679,"# generated using pymatgen
data_Y2MgAl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.15015018
_cell_length_b   5.15015018
_cell_length_c   5.15015018
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2MgAl
_chemical_formula_sum   'Y2 Mg1 Al1'
_cell_volume   96.59278353
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.74999920  0.74999920  0.74999920  1
  Y  Y1  1  0.24999973  0.24999973  0.24999973  1
  Mg  Mg2  1  0.00000000  0.00000000  0.00000000  1
  Al  Al3  1  0.49999947  0.49999947  0.49999947  1
",-0.014641558997263018
1,JVASP-8528,"# generated using pymatgen
data_NbRu3C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00766887
_cell_length_b   4.00766887
_cell_length_c   4.00766887
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbRu3C
_chemical_formula_sum   'Nb1 Ru3 C1'
_cell_volume   64.36881204
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.00000000  1
  Ru  Ru1  1  0.00000000  0.49999986  0.49999986  1
  Ru  Ru2  1  0.49999986  0.00000000  0.49999986  1
  Ru  Ru3  1  0.49999986  0.49999986  0.00000000  1
  C  C4  1  0.49999986  0.49999986  0.49999986  1
",-14.910065457301341
2,JVASP-93356,"# generated using pymatgen
data_ZrCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.80804965
_cell_length_b   4.80804965
_cell_length_c   4.80804965
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrCo2
_chemical_formula_sum   'Zr2 Co4'
_cell_volume   78.59444186
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.25000033  0.25000033  0.25000033  1
  Zr  Zr1  1  0.00000000  0.00000000  0.00000000  1
  Co  Co2  1  0.62500161  0.62500161  0.12500032  1
  Co  Co3  1  0.62500161  0.12500032  0.62500161  1
  Co  Co4  1  0.12500032  0.62500161  0.62500161  1
  Co  Co5  1  0.62500161  0.62500161  0.62500161  1
",-4.437883785706703
3,JVASP-19832,"# generated using pymatgen
data_CoTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.87783987
_cell_length_b   3.87783987
_cell_length_c   5.22045324
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoTe
_chemical_formula_sum   'Co2 Te2'
_cell_volume   67.98585831
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.00000000  0.00000000  0.50000031  1
  Co  Co1  1  0.00000000  0.00000000  0.00000000  1
  Te  Te2  1  0.66666654  0.33333312  0.25000016  1
  Te  Te3  1  0.33333312  0.66666624  0.75000047  1
",-0.9482922029387372
4,JVASP-74557,"# generated using pymatgen
data_ScBeIn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.29486387
_cell_length_b   4.29486387
_cell_length_c   3.30577359
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScBeIn
_chemical_formula_sum   'Sc1 Be1 In1'
_cell_volume   52.80834348
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.66666717  0.33333344  0.50000054  1
  Be  Be1  1  0.00000000  0.00000000  0.00000000  1
  In  In2  1  0.33333344  0.66666689  0.00000000  1
",-4.3315094850939655
5,JVASP-113989,"# generated using pymatgen
data_Cu2BN2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.58145394
_cell_length_b   2.58145394
_cell_length_c   6.88073990
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2BN2
_chemical_formula_sum   'Cu2 B1 N2'
_cell_volume   45.85259312
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.50000076  0.50000076  0.32814491  1
  Cu  Cu1  1  0.50000076  0.50000076  0.67185498  1
  B  B2  1  0.00000000  0.00000000  0.00000000  1
  N  N3  1  0.00000000  0.50000076  0.87549059  1
  N  N4  1  0.50000076  0.00000000  0.12450930  1
",-0.0386844117729127
6,JVASP-572,"# generated using pymatgen
data_VS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.12770081
_cell_length_b   3.12770081
_cell_length_c   5.76220035
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VS2
_chemical_formula_sum   'V1 S2'
_cell_volume   48.81680941
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00000000  0.00000000  0.00000000  1
  S  S1  1  0.66666669  0.33333313  0.25404799  1
  S  S2  1  0.33333313  0.66666626  0.74595205  1
",-1.452358576373341
7,JVASP-15403,"# generated using pymatgen
data_ScNi2Sn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36629583
_cell_length_b   4.36629583
_cell_length_c   4.36629583
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScNi2Sn
_chemical_formula_sum   'Sc1 Ni2 Sn1'
_cell_volume   58.86057130
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.00000000  0.00000000  0.00000000  1
  Ni  Ni1  1  0.74999937  0.74999937  0.74999937  1
  Ni  Ni2  1  0.24999979  0.24999979  0.24999979  1
  Sn  Sn3  1  0.49999958  0.49999958  0.49999958  1
",-0.16238428663553073
8,JVASP-137989,"# generated using pymatgen
data_BaPO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.42631830
_cell_length_b   3.42631830
_cell_length_c   6.86001428
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaPO
_chemical_formula_sum   'Ba1 P1 O1'
_cell_volume   80.53421524
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.00000000  0.00000000  0.39547598  1
  P  P1  1  0.00000000  0.00000000  0.97664051  1
  O  O2  1  0.00000000  0.00000000  0.75243770  1
",-2.897473451386057
9,JVASP-16545,"# generated using pymatgen
data_HfTc
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.23630430
_cell_length_b   3.23630430
_cell_length_c   3.23630430
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfTc
_chemical_formula_sum   'Hf1 Tc1'
_cell_volume   33.89596883
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.00000000  0.00000000  0.00000000  1
  Tc  Tc1  1  0.50000066  0.50000066  0.50000066  1
",-2.548903687202566
